PID,PI_S1_R3_20_5_A,PI_S1_R3_I31_7_A,PI_S1_R3_14_1_A,PI_S1_R2_6_1_E,PI_S1_R2_7_2_E,PI_S1_R2_9_2_E,PI_S1_R3_I23_3_J,PI_S1_R3_I23_3_E,PI_S1_R2_10_1_E,PI_S1_R3_I24_3_E,PI_S1_R3_I26_2_A,PI_S1_R2_13_1_J,PI_S1_R3_3_3_A,PI_S1_R3_I41_2_E,PI_S1_R3_4_2_E,PI_S1_R2_14_1_J,PI_S1_R3_15_2_E,PI_S1_R3_3_2_A,manipulation_check_1,PII_S2_R3_I40_3_E,PII_S2_R3_4_1_A,PII_S2_R3_5_4_E,PII_S2_R3_20_3_E,PII_S2_R3_I33_1_A,PII_S2_R3_17_2_A,PII_S2_R3_22_3_E,PII_S2_R2_8_2_E,PII_S2_R2_21_3_J,PII_S2_R3_13_2_E,PII_S2_R3_I30_2_A,PII_S2_R3_10_3_J,PII_S2_R3_5_7_E,PII_S2_R3_13_2_J,PII_S2_R3_6_2_A,PII_S2_R3_I40_1_A,PII_S2_R3_2_1_A,PII_S2_R3_I23_2_J,manipulation_check_2,PIII_S3_R2_20_1_J,PIII_S3_R3_12_2_E,PIII_S3_R3_I35_2_E,PIII_S3_R3_I32_3_A,PIII_S3_R3_24_3_A,PIII_S3_R2_6_2_E,PIII_S3_R3_I26_1_A,PIII_S3_R3_11_5_A,PIII_S3_R3_I38_4_E,PIII_S3_R3_5_6_E,PIII_S3_R3_19_3_E,PIII_S3_R3_10_3_E,PIII_S3_R3_16_1_A,PIII_S3_R3_6_1_J,PIII_S3_R3_I36_6_A,PIII_S3_R3_5_1_J,PIII_S3_R3_6_2_E,PIII_S3_R3_12_1_J,manipulation_check_3,PII_S3_R2_20_1_J,PII_S3_R3_12_2_E,PII_S3_R3_I35_2_E,PII_S3_R3_I32_3_A,PII_S3_R3_24_3_A,PII_S3_R2_6_2_E,PII_S3_R3_I26_1_A,PII_S3_R3_11_5_A,PII_S3_R3_I38_4_E,PII_S3_R3_5_6_E,PII_S3_R3_19_3_E,PII_S3_R3_10_3_E,PII_S3_R3_16_1_A,PII_S3_R3_6_1_J,PII_S3_R3_I36_6_A,PII_S3_R3_5_1_J,PII_S3_R3_6_2_E,PII_S3_R3_12_1_J,manipulation_check_3,PIII_S2_R3_I40_3_E,PIII_S2_R3_4_1_A,PIII_S2_R3_5_4_E,PIII_S2_R3_20_3_E,PIII_S2_R3_I33_1_A,PIII_S2_R3_17_2_A,PIII_S2_R3_22_3_E,PIII_S2_R2_8_2_E,PIII_S2_R2_21_3_J,PIII_S2_R3_13_2_E,PIII_S2_R3_I30_2_A,PIII_S2_R3_10_3_J,PIII_S2_R3_5_7_E,PIII_S2_R3_13_2_J,PIII_S2_R3_6_2_A,PIII_S2_R3_I40_1_A,PIII_S2_R3_2_1_A,PIII_S2_R3_I23_2_J,manipulation_check_2,PI_S2_R3_I40_3_E,PI_S2_R3_4_1_A,PI_S2_R3_5_4_E,PI_S2_R3_20_3_E,PI_S2_R3_I33_1_A,PI_S2_R3_17_2_A,PI_S2_R3_22_3_E,PI_S2_R2_8_2_E,PI_S2_R2_21_3_J,PI_S2_R3_13_2_E,PI_S2_R3_I30_2_A,PI_S2_R3_10_3_J,PI_S2_R3_5_7_E,PI_S2_R3_13_2_J,PI_S2_R3_6_2_A,PI_S2_R3_I40_1_A,PI_S2_R3_2_1_A,PI_S2_R3_I23_2_J,manipulation_check_2,PII_S1_R3_20_5_A,PII_S1_R3_I31_7_A,PII_S1_R3_14_1_A,PII_S1_R2_6_1_E,PII_S1_R2_7_2_E,PII_S1_R2_9_2_E,PII_S1_R3_I23_3_J,PII_S1_R3_I23_3_E,PII_S1_R2_10_1_E,PII_S1_R3_I24_3_E,PII_S1_R3_I26_2_A,PII_S1_R2_13_1_J,PII_S1_R3_3_3_A,PII_S1_R3_I41_2_E,PII_S1_R3_4_2_E,PII_S1_R2_14_1_J,PII_S1_R3_15_2_E,PII_S1_R3_3_2_A,manipulation_check_1,PIII_S1_R3_20_5_A,PIII_S1_R3_I31_7_A,PIII_S1_R3_14_1_A,PIII_S1_R2_6_1_E,PIII_S1_R2_7_2_E,PIII_S1_R2_9_2_E,PIII_S1_R3_I23_3_J,PIII_S1_R3_I23_3_E,PIII_S1_R2_10_1_E,PIII_S1_R3_I24_3_E,PIII_S1_R3_I26_2_A,PIII_S1_R2_13_1_J,PIII_S1_R3_3_3_A,PIII_S1_R3_I41_2_E,PIII_S1_R3_4_2_E,PIII_S1_R2_14_1_J,PIII_S1_R3_15_2_E,PIII_S1_R3_3_2_A,manipulation_check_1,PI_S3_R2_20_1_J,PI_S3_R3_12_2_E,PI_S3_R3_I35_2_E,PI_S3_R3_I32_3_A,PI_S3_R3_24_3_A,PI_S3_R2_6_2_E,PI_S3_R3_I26_1_A,PI_S3_R3_11_5_A,PI_S3_R3_I38_4_E,PI_S3_R3_5_6_E,PI_S3_R3_19_3_E,PI_S3_R3_10_3_E,PI_S3_R3_16_1_A,PI_S3_R3_6_1_J,PI_S3_R3_I36_6_A,PI_S3_R3_5_1_J,PI_S3_R3_6_2_E,PI_S3_R3_12_1_J,manipulation_check_3,education,field,field_6_TEXT,gender,gender_5_TEXT,birth_year,location,info_search,info_search_service,chatbots,social_orientation_1,social_orientation_2
136,,,,,,,,,,,,,,,,,,,,TRANSLATED,,ORIGINAL,ORIGINAL,ORIGINAL,,,ORIGINAL,,,ORIGINAL,TRANSLATED,,,,ORIGINAL,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,,,,ORIGINAL,ORIGINAL,,,ORIGINAL,,ORIGINAL,,ORIGINAL,,ORIGINAL,TRANSLATED,I don't know,TRANSLATED,ORIGINAL,ORIGINAL,,,ORIGINAL,,,ORIGINAL,,,TRANSLATED,ORIGINAL,ORIGINAL,,ORIGINAL,,,I don't know,Bachelor's degree in college (4-year),Arts and Humanities,,Female,,1990,"Philadelphia, PA",Yes,I have never used assistance services when traveling,,Neither agree nor disagree,Neither agree nor disagree
137,ORIGINAL,,,,ORIGINAL,ORIGINAL,TRANSLATED,,,,ORIGINAL,ORIGINAL,,TRANSLATED,ORIGINAL,ORIGINAL,,,I don't know,,,,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,,,ORIGINAL,,TRANSLATED,ORIGINAL,,I don't know,,,TRANSLATED,ORIGINAL,,ORIGINAL,,TRANSLATED,ORIGINAL,,TRANSLATED,,,ORIGINAL,,,TRANSLATED,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some college but no degree,STEM,,Male,,1965,"Cleveland, Ohio",Yes,I have never used assistance services when traveling,,Somewhat disagree,Disagree
138,,,,ORIGINAL,,,TRANSLATED,ORIGINAL,,ORIGINAL,,ORIGINAL,,,TRANSLATED,,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,ORIGINAL,,ORIGINAL,,ORIGINAL,,ORIGINAL,TRANSLATED,,ORIGINAL,,,ORIGINAL,TRANSLATED,,I don't know,TRANSLATED,ORIGINAL,TRANSLATED,,,,,TRANSLATED,TRANSLATED,ORIGINAL,,,,,,ORIGINAL,ORIGINAL,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High school graduate (high school diploma or equivalent including GED),,,Female,,1972,"Stockbridge, GA",Yes,I have never used assistance services when traveling,,Disagree,Disagree
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,ORIGINAL,TRANSLATED,,ORIGINAL,ORIGINAL,ORIGINAL,,,,,,ORIGINAL,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,,TRANSLATED,,ORIGINAL,ORIGINAL,,,ORIGINAL,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,NONE,,ORIGINAL,,,,,,ORIGINAL,TRANSLATED,,ORIGINAL,TRANSLATED,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),STEM,,Male,,1994,"Indianapolis, IN",Yes,I have never used assistance services when traveling,Five or above,Disagree,Neither agree nor disagree
140,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,TRANSLATED,TRANSLATED,ORIGINAL,ORIGINAL,,,ORIGINAL,ORIGINAL,,,ORIGINAL,,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,ORIGINAL,,,,,,TRANSLATED,,,ORIGINAL,TRANSLATED,,ORIGINAL,ORIGINAL,TRANSLATED,I don't know,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,,,,ORIGINAL,,ORIGINAL,,ORIGINAL,,TRANSLATED,,,I don't know,Associate degree in college (2-year),Arts and Humanities,,Female,,1982,Miami,Yes,I have never used assistance services when traveling,,Somewhat agree,Agree
141,,,,,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,,TRANSLATED,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,TRANSLATED,,ORIGINAL,ORIGINAL,,,,ORIGINAL,ORIGINAL,TRANSLATED,,ORIGINAL,,TRANSLATED,,,I don't know,ORIGINAL,,,,,,,ORIGINAL,TRANSLATED,TRANSLATED,,,ORIGINAL,TRANSLATED,,ORIGINAL,ORIGINAL,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some college but no degree,STEM,,Male,,1995,Minnesota,Yes,One,Two,Neither agree nor disagree,Neither agree nor disagree
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,TRANSLATED,ORIGINAL,,TRANSLATED,,,,,,,TRANSLATED,TRANSLATED,,ORIGINAL,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,,TRANSLATED,TRANSLATED,ORIGINAL,TRANSLATED,,TRANSLATED,,,,,TRANSLATED,ORIGINAL,,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,,TRANSLATED,ORIGINAL,,,,ORIGINAL,,TRANSLATED,TRANSLATED,I don't know,Associate degree in college (2-year),STEM,,Male,,1988,New York,Yes,One,Three,Somewhat agree,Disagree
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,TRANSLATED,,,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,,,,,,TRANSLATED,ORIGINAL,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,ORIGINAL,,ORIGINAL,,,ORIGINAL,ORIGINAL,TRANSLATED,ORIGINAL,,ORIGINAL,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,TRANSLATED,,TRANSLATED,ORIGINAL,ORIGINAL,TRANSLATED,ORIGINAL,,,TRANSLATED,,,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,Master's degree,STEM,,Male,,1993,chicago/illinois,Yes,Five or above,Five or above,Agree,Agree
144,ORIGINAL,,ORIGINAL,,ORIGINAL,,,,ORIGINAL,TRANSLATED,ORIGINAL,ORIGINAL,,,TRANSLATED,,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,ORIGINAL,,ORIGINAL,TRANSLATED,TRANSLATED,,,,TRANSLATED,,,TRANSLATED,ORIGINAL,ORIGINAL,,,I don't know,,,,,ORIGINAL,,ORIGINAL,ORIGINAL,TRANSLATED,TRANSLATED,ORIGINAL,ORIGINAL,,,TRANSLATED,,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Master's degree,Arts and Humanities,,Female,,1988,"Austin, Texas",Yes,I have never used assistance services when traveling,Five or above,Disagree,Disagree
145,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,ORIGINAL,,ORIGINAL,,TRANSLATED,ORIGINAL,TRANSLATED,,,,ORIGINAL,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,,ORIGINAL,ORIGINAL,,TRANSLATED,,,ORIGINAL,,TRANSLATED,TRANSLATED,TRANSLATED,,TRANSLATED,I don't know,,ORIGINAL,TRANSLATED,,,,,ORIGINAL,,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,,ORIGINAL,I don't know,Doctoral degree,Social & Behavioral Sciences,,Female,,1991,California,Yes,,Five or above,Somewhat agree,Agree
146,,,,TRANSLATED,,,TRANSLATED,,ORIGINAL,TRANSLATED,,ORIGINAL,,TRANSLATED,,TRANSLATED,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,ORIGINAL,TRANSLATED,,ORIGINAL,,,,,ORIGINAL,ORIGINAL,TRANSLATED,ORIGINAL,,,TRANSLATED,I don't know,NONE,ORIGINAL,TRANSLATED,,,ORIGINAL,,,ORIGINAL,,,ORIGINAL,,ORIGINAL,,TRANSLATED,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some college but no degree,Arts and Humanities,,Female,,1960,"Crane, TX",Yes,I have never used assistance services when traveling,Five or above,Agree,Agree
147,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,,,,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,,,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,,TRANSLATED,,TRANSLATED,I don't know,TRANSLATED,,,ORIGINAL,ORIGINAL,TRANSLATED,ORIGINAL,,ORIGINAL,,TRANSLATED,,,,ORIGINAL,,TRANSLATED,,I don't know,Bachelor's degree in college (4-year),STEM,,Female,,1988,"Seattle, WA",Yes,I have never used assistance services when traveling,Five or above,Neither agree nor disagree,Neither agree nor disagree
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,ORIGINAL,,,,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,,,,TRANSLATED,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,TRANSLATED,,TRANSLATED,ORIGINAL,ORIGINAL,TRANSLATED,,,TRANSLATED,,ORIGINAL,,TRANSLATED,,,,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,,TRANSLATED,TRANSLATED,TRANSLATED,,,ORIGINAL,,ORIGINAL,ORIGINAL,,ORIGINAL,,,,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,Master's degree,Arts and Humanities,,Male,,1991,Louisiana,Yes,,Two,Somewhat disagree,Somewhat agree
149,,ORIGINAL,ORIGINAL,,ORIGINAL,,TRANSLATED,,ORIGINAL,,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,,,I don't know,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,,ORIGINAL,,,,ORIGINAL,ORIGINAL,,ORIGINAL,,,ORIGINAL,,I don't know,TRANSLATED,TRANSLATED,,,ORIGINAL,ORIGINAL,,,,ORIGINAL,TRANSLATED,ORIGINAL,,ORIGINAL,,TRANSLATED,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Associate degree in college (2-year),Social & Behavioral Sciences,,Female,,1990,"greenville, SC",Yes,I have never used assistance services when traveling,Five or above,Disagree,Neither agree nor disagree
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,TRANSLATED,,TRANSLATED,ORIGINAL,ORIGINAL,,,ORIGINAL,,TRANSLATED,,,,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,,TRANSLATED,,ORIGINAL,,ORIGINAL,ORIGINAL,,TRANSLATED,,ORIGINAL,TRANSLATED,,,I don't know,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,TRANSLATED,,,,TRANSLATED,TRANSLATED,TRANSLATED,TRANSLATED,NONE,TRANSLATED,TRANSLATED,,,,I don't know,Some college but no degree,Arts and Humanities,,Male,,1999,NY,Yes,I have never used assistance services when traveling,I have never interacted with chatbots,Somewhat agree,Neither agree nor disagree
151,ORIGINAL,,,,,ORIGINAL,,ORIGINAL,,ORIGINAL,ORIGINAL,,ORIGINAL,TRANSLATED,,,ORIGINAL,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,,TRANSLATED,ORIGINAL,TRANSLATED,,ORIGINAL,ORIGINAL,TRANSLATED,,TRANSLATED,,,,ORIGINAL,,I don't know,ORIGINAL,,,,TRANSLATED,,,,ORIGINAL,TRANSLATED,,ORIGINAL,,ORIGINAL,TRANSLATED,ORIGINAL,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some college but no degree,Arts and Humanities,,Female,,1998,tampa/florida,Yes,I have never used assistance services when traveling,Two,Disagree,Disagree
152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,,TRANSLATED,,,TRANSLATED,TRANSLATED,ORIGINAL,,,,,ORIGINAL,ORIGINAL,TRANSLATED,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,ORIGINAL,,,,TRANSLATED,ORIGINAL,,ORIGINAL,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,I don't know,ORIGINAL,ORIGINAL,,,ORIGINAL,,ORIGINAL,,ORIGINAL,,,ORIGINAL,,ORIGINAL,,,ORIGINAL,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High school graduate (high school diploma or equivalent including GED),STEM,,Male,,2000,"Cedar Park, TX",Yes,I have never used assistance services when traveling,Five or above,Disagree,Disagree
153,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,TRANSLATED,,,,TRANSLATED,TRANSLATED,TRANSLATED,,,TRANSLATED,,TRANSLATED,ORIGINAL,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,TRANSLATED,TRANSLATED,TRANSLATED,ORIGINAL,,,,,,,ORIGINAL,,TRANSLATED,TRANSLATED,TRANSLATED,,I don't know,TRANSLATED,ORIGINAL,,ORIGINAL,,TRANSLATED,TRANSLATED,TRANSLATED,,,,,,,,ORIGINAL,TRANSLATED,TRANSLATED,"[Tourist Assistant Chatbot:] Flagstaff is located in Arizona, USA. We receive around 5 million visitors per year. Dear participant, it's important to pay attention to the study. This is an attention check question, please select the 'I don't know' option and ignore the rest of the paragraph. When you visit Flagstaff, stop by at our visitor center for more touristic information.",Some college but no degree,STEM,,Male,,1976,"Merrill, MI",Yes,Five or above,Five or above,Somewhat agree,Neither agree nor disagree
154,,ORIGINAL,NONE,,ORIGINAL,,TRANSLATED,,ORIGINAL,NONE,,ORIGINAL,,,,,NONE,NONE,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,,NONE,,TRANSLATED,ORIGINAL,NONE,,NONE,NONE,NONE,NONE,I don't know,,TRANSLATED,,,NONE,NONE,,,TRANSLATED,,,,NONE,,ORIGINAL,NONE,ORIGINAL,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some college but no degree,Social & Behavioral Sciences,,Male,,1985,"Baton Rouge, Louisiana",Yes,I have never used assistance services when traveling,Five or above,Neither agree nor disagree,Neither agree nor disagree
155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,ORIGINAL,,TRANSLATED,ORIGINAL,,,,TRANSLATED,TRANSLATED,ORIGINAL,ORIGINAL,,,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,TRANSLATED,,ORIGINAL,TRANSLATED,ORIGINAL,,ORIGINAL,NONE,,,,TRANSLATED,,ORIGINAL,,,I don't know,,ORIGINAL,,ORIGINAL,,,,TRANSLATED,,,,ORIGINAL,,TRANSLATED,TRANSLATED,ORIGINAL,TRANSLATED,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some college but no degree,"Law, Economics, and Management",,Male,,1975,New Jersey,Yes,I have never used assistance services when traveling,Five or above,Somewhat agree,Somewhat agree
156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,TRANSLATED,TRANSLATED,NONE,TRANSLATED,TRANSLATED,,ORIGINAL,,ORIGINAL,,,,ORIGINAL,,,,,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,ORIGINAL,,,,ORIGINAL,,,ORIGINAL,ORIGINAL,ORIGINAL,,TRANSLATED,,ORIGINAL,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,,,TRANSLATED,ORIGINAL,ORIGINAL,TRANSLATED,ORIGINAL,ORIGINAL,,TRANSLATED,,,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,Some college but no degree,STEM,,Male,,1999,California,Yes,Two,One,Strongly disagree,Strongly disagree
157,ORIGINAL,ORIGINAL,,ORIGINAL,,TRANSLATED,,ORIGINAL,,,NONE,,,TRANSLATED,ORIGINAL,ORIGINAL,,,I don't know,,ORIGINAL,TRANSLATED,,ORIGINAL,ORIGINAL,ORIGINAL,,,,ORIGINAL,ORIGINAL,,ORIGINAL,,,,ORIGINAL,I don't know,ORIGINAL,ORIGINAL,TRANSLATED,,,,ORIGINAL,ORIGINAL,,ORIGINAL,,ORIGINAL,,TRANSLATED,,,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High school graduate (high school diploma or equivalent including GED),,,Male,,1997,"Sebring, Florida",Yes,I have never used assistance services when traveling,Three,Somewhat agree,Neither agree nor disagree
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,TRANSLATED,,,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,,,ORIGINAL,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,ORIGINAL,,,ORIGINAL,,,ORIGINAL,,,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,,,ORIGINAL,,,,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),STEM,,Male,,1991,"Miami, Florida",Yes,One,Five or above,Strongly disagree,Strongly disagree
159,ORIGINAL,,,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,,,ORIGINAL,ORIGINAL,,,ORIGINAL,,TRANSLATED,I don't know,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,,,,ORIGINAL,ORIGINAL,,,ORIGINAL,,,ORIGINAL,I don't know,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,,,ORIGINAL,,ORIGINAL,TRANSLATED,,ORIGINAL,ORIGINAL,,,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),Other:,Education,Female,,1995,Wilmington/NC,Yes,,One,Strongly disagree,Disagree
160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,TRANSLATED,,,,,ORIGINAL,TRANSLATED,,ORIGINAL,TRANSLATED,TRANSLATED,,,,ORIGINAL,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,,TRANSLATED,,,ORIGINAL,,I don't know,ORIGINAL,,ORIGINAL,,ORIGINAL,ORIGINAL,TRANSLATED,,ORIGINAL,ORIGINAL,TRANSLATED,,ORIGINAL,,,,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some college but no degree,STEM,,Male,,1982,Raleigh/North Carolina,No,I don't travel,Three,Somewhat agree,Somewhat agree
